iter	Passed	Remaining
207	5039	19190
208	5058	19143
209	5074	19090
210	5093	19047
211	5112	19002
212	5128	18949
213	5145	18898
214	5162	18848
215	5179	18801
216	5199	18761
217	5217	18714
218	5235	18670
219	5258	18644
220	5285	18629
221	5311	18614
222	5335	18590
223	5356	18555
224	5374	18512
225	5391	18466
226	5410	18424
227	5428	18382
228	5445	18333
229	5463	18292
230	5481	18248
231	5499	18206
232	5517	18163
233	5537	18126
234	5555	18085
235	5573	18042
236	5591	18001
237	5608	17956
238	5627	17918
239	5645	17875
240	5662	17833
241	5681	17796
242	5699	17754
243	5717	17713
244	5735	17673
245	5753	17635
246	5772	17598
247	5792	17564
248	5810	17524
249	5827	17481
250	5845	17442
251	5863	17403
252	5883	17370
253	5902	17337
254	5922	17303
255	5942	17270
256	5963	17241
257	5983	17207
258	6002	17173
259	6020	17133
260	6038	17097
261	6056	17059
262	6076	17028
263	6098	17001
264	6117	16966
265	6135	16930
266	6154	16895
267	6170	16855
268	6200	16850
269	6220	16819
270	6241	16789
271	6281	16811
272	6298	16771
273	6313	16729
274	6331	16691
275	6348	16652
276	6366	16617
277	6384	16582
278	6403	16547
279	6422	16515
280	6441	16482
281	6459	16445
282	6476	16408
283	6492	16368
284	6511	16336
285	6530	16302
286	6548	16267
287	6565	16230
288	6583	16196
289	6600	16159
290	6615	16119
291	6634	16085
292	6649	16045
293	6667	16010
294	6684	15974
295	6701	15939
296	6726	15920
297	6743	15884
298	6762	15853
299	6782	15824
300	6808	15810
301	6825	15775
302	6843	15741
303	6861	15710
304	6880	15677
305	6898	15646
306	6916	15612
307	6942	15599
308	6972	15591
309	6999	15579
310	7019	15550
311	7038	15520
312	7057	15490
313	7079	15467
314	7098	15436
315	7116	15403
316	7133	15370
317	7152	15340
318	7170	15308
319	7189	15278
320	7208	15247
321	7227	15217
322	7246	15187
323	7264	15156
324	7282	15126
325	7300	15094
326	7319	15065
327	7337	15033
328	7396	15086
329	7423	15071
330	7442	15041
331	7462	15014
332	7481	14984
333	7501	14957
334	7520	14928
335	7538	14897
336	7555	14864
337	7574	14835
338	7594	14808
339	7612	14777
340	7632	14750
341	7650	14719
342	7670	14691
343	7687	14660
344	7705	14629
345	7722	14596
346	7738	14563
347	7756	14531
348	7773	14499
349	7791	14470
350	7812	14444
351	7832	14418
352	7850	14388
353	7869	14360
354	7888	14331
355	7906	14302
356	7926	14275
357	7956	14268
358	7975	14240
359	7994	14213
360	8014	14186
361	8032	14156
362	8051	14128
363	8081	14120
364	8110	14110
365	8128	14080
366	8157	14069
367	8180	14049
368	8199	14021
369	8218	13993
370	8249	13985
371	8269	13960
372	8291	13937
373	8365	14002
374	8398	13997
375	8416	13967
376	8433	13935
377	8450	13905
378	8467	13874
379	8484	13843
380	8503	13815
381	8519	13783
382	8537	13754
383	8554	13722
384	8573	13695
385	8591	13665
386	8610	13638
387	8628	13609
388	8646	13581
389	8666	13555
390	8685	13528
391	8703	13499
392	8721	13471
393	8751	13460
394	8774	13439
395	8848	13496
396	8881	13490
397	8901	13463
398	8917	13432
399	8933	13400
400	8950	13370
401	8969	13343
402	8990	13318
403	9048	13348
404	9122	13402
405	9195	13453
406	9232	13452
407	9253	13426
408	9271	13396
409	9312	13400
410	9355	13407
411	9376	13381
412	9394	13351
413	9413	13323
414	9432	13296
415	9452	13269
416	9471	13241
417	9489	13212
418	9508	13184
419	9527	13156
420	9544	13126
421	9563	13098
422	9592	13084
423	9619	13067
424	9649	13054
425	9737	13120
426	9769	13109
427	9786	13079
428	9805	13050
429	9826	13025
430	9847	13000
431	9866	12972
432	9896	12958
433	9911	12926
434	9929	12897
435	9946	12866
436	9965	12838
437	9994	12823
438	10015	12798
439	10035	12772
440	10062	12755
441	10084	12731
442	10114	12717
443	10145	12705
444	10161	12673
445	10178	12643
446	10195	12612
447	10212	12583
448	10228	12552
449	10244	12521
450	10263	12493
451	10280	12463
452	10296	12432
453	10314	12404
454	10333	12377
455	10353	12352
456	10393	12349
457	10411	12320
458	10427	12290
459	10447	12264
460	10477	12249
461	10518	12248
462	10539	12223
463	10570	12210
464	10589	12184
465	10629	12180
466	10657	12163
467	10675	12135
468	10693	12107
469	10712	12079
470	10731	12052
471	10748	12023
472	10766	11995
473	10783	11966
474	10800	11937
475	10815	11906
476	10832	11877
477	10849	11847
478	10866	11819
479	10886	11793
480	10905	11767
481	10924	11740
482	10943	11713
483	10972	11697
484	10992	11672
485	11011	11646
486	11031	11620
487	11051	11594
488	11072	11570
489	11111	11564
490	11132	11540
491	11171	11535
492	11195	11513
493	11224	11497
494	11253	11480
495	11272	11454
496	11294	11431
497	11315	11406
498	11344	11390
499	11364	11364
500	11382	11336
501	11399	11308
502	11417	11281
503	11435	11254
504	11452	11226
505	11470	11198
506	11488	11171
507	11507	11144
508	11525	11118
509	11545	11092
510	11565	11067
511	11587	11043
512	11618	11029
513	11638	11004
514	11659	10980
515	11699	10974
516	11718	10947
517	11737	10921
518	11756	10895
519	11777	10871
520	11796	10845
521	11816	10820
522	11845	10803
523	11865	10778
524	11885	10753
525	11935	10755
526	11966	10740
527	12005	10732
528	12033	10714
529	12052	10687
530	12098	10685
531	12116	10658
532	12133	10630
533	12152	10604
534	12172	10580
535	12192	10554
536	12217	10534
537	12235	10506
538	12255	10481
539	12275	10456
540	12294	10430
541	12312	10404
542	12331	10378
543	12349	10352
544	12370	10327
545	12391	10303
546	12413	10279
547	12432	10254
548	12452	10229
549	12471	10203
550	12490	10178
551	12508	10151
552	12525	10124
553	12542	10097
554	12558	10069
555	12575	10041
556	12596	10018
557	12613	9991
558	12629	9963
559	12648	9937
560	12664	9910
561	12680	9882
562	12699	9857
563	12715	9829
564	12732	9802
565	12771	9793
566	12810	9783
567	12832	9759
568	12850	9734
569	12868	9707
570	12888	9683
571	12926	9672
572	12943	9645
573	12958	9617
574	12974	9590
575	12992	9563
576	13007	9536
577	13024	9509
578	13041	9482
579	13060	9457
580	13091	9441
581	13115	9419
582	13144	9402
583	13184	9391
584	13205	9368
585	13223	9342
586	13242	9317
587	13261	9292
588	13278	9265
589	13297	9240
590	13316	9215
591	13337	9191
592	13357	9167
593	13379	9144
594	13408	9126
595	13447	9115
596	13470	9093
597	13488	9067
598	13509	9043
599	13530	9020
600	13550	8996
601	13568	8970
602	13606	8957
603	13627	8934
604	13647	8910
605	13669	8887
606	13699	8869
607	13729	8851
608	13749	8827
609	13779	8810
610	13799	8785
611	13819	8761
612	13839	8737
613	13868	8718
614	13899	8701
615	13939	8689
616	14002	8692
617	14034	8675
618	14077	8664
619	14098	8641
620	14112	8612
621	14127	8585
622	14142	8558
623	14158	8531
624	14189	8513
625	14208	8488
626	14247	8475
627	14264	8449
628	14283	8424
629	14301	8399
630	14318	8373
631	14357	8360
632	14379	8336
633	14396	8311
634	14424	8291
635	14445	8267
636	14463	8242
637	14482	8217
638	14500	8191
639	14520	8167
640	14539	8143
641	14581	8131
642	14601	8106
643	14618	8080
644	14636	8055
645	14654	8030
646	14672	8005
647	14688	7979
648	14707	7954
649	14734	7934
650	14754	7910
651	14788	7893
652	14827	7879
653	14844	7853
654	14861	7828
655	14894	7810
656	14918	7788
657	14938	7764
658	14956	7739
659	14976	7714
660	14994	7689
661	15018	7668
662	15060	7655
663	15079	7630
664	15099	7606
665	15131	7588
666	15152	7564
667	15172	7540
668	15194	7517
669	15213	7493
670	15235	7470
671	15266	7451
672	15292	7430
673	15319	7409
674	15339	7385
675	15358	7361
676	15378	7337
677	15404	7315
678	15428	7294
679	15464	7277
680	15486	7254
681	15506	7230
682	15540	7212
683	15571	7193
684	15592	7170
685	15612	7146
686	15630	7121
687	15655	7099
688	15708	7090
689	15729	7066
690	15752	7044
691	15775	7021
692	15798	6998
693	15823	6976
694	15848	6955
695	15871	6932
696	15893	6909
697	15917	6886
698	15939	6863
699	15961	6840
700	15983	6817
701	16002	6793
702	16023	6769
703	16043	6745
704	16082	6729
705	16103	6705
706	16122	6681
707	16151	6661
708	16190	6645
709	16210	6620
710	16228	6596
711	16247	6572
712	16264	6546
713	16283	6522
714	16300	6497
715	16317	6472
716	16335	6447
717	16353	6423
718	16372	6398
719	16391	6374
720	16411	6350
721	16433	6327
722	16493	6318
723	16512	6294
724	16559	6281
725	16578	6256
726	16596	6232
727	16630	6213
728	16652	6190
729	16673	6167
730	16698	6144
731	16723	6122
732	16748	6100
733	16782	6081
734	16827	6067
735	16859	6047
736	16892	6027
737	16954	6018
738	16971	5993
739	16987	5968
740	17004	5943
741	17026	5920
742	17086	5910
743	17107	5886
744	17156	5872
745	17178	5849
746	17207	5827
747	17227	5803
748	17265	5785
749	17294	5764
750	17316	5741
751	17345	5720
752	17369	5697
753	17386	5672
754	17406	5648
755	17424	5623
756	17454	5603
757	17483	5581
758	17503	5557
759	17520	5532
760	17538	5508
761	17556	5483
762	17573	5458
763	17602	5437
764	17623	5413
765	17644	5390
766	17671	5368
767	17689	5343
768	17708	5319
769	17726	5294
770	17753	5273
771	17769	5248
772	17786	5223
773	17803	5198
774	17819	5173
775	17837	5148
776	17868	5128
777	17902	5108
778	17930	5086
779	17951	5063
780	17969	5038
781	18008	5020
782	18027	4996
783	18044	4971
784	18061	4946
785	18078	4922
786	18097	4898
787	18115	4873
788	18135	4849
789	18153	4825
790	18173	4801
791	18190	4777
792	18212	4754
793	18232	4730
794	18251	4706
795	18269	4682
796	18287	4657
797	18304	4633
798	18325	4609
799	18345	4586
800	18363	4562
801	18380	4537
802	18398	4513
803	18414	4489
804	18432	4465
805	18450	4440
806	18468	4416
807	18485	4392
808	18504	4368
809	18533	4347
810	18563	4326
811	18579	4301
812	18594	4276
813	18610	4252
814	18629	4228
815	18648	4205
816	18679	4184
817	18701	4160
818	18752	4144
819	18783	4123
820	18821	4103
821	18850	4082
822	18866	4057
823	18882	4033
824	18899	4008
825	18918	3985
826	18936	3961
827	18953	3937
828	18972	3913
829	19003	3892
830	19032	3870
831	19059	3848
832	19102	3829
833	19130	3807
834	19147	3783
835	19165	3759
836	19185	3736
837	19203	3712
838	19221	3688
839	19238	3664
840	19257	3640
841	19288	3619
842	19318	3597
843	19349	3576
844	19378	3554
845	19399	3531
846	19427	3509
847	19460	3488
848	19488	3466
849	19508	3442
850	19538	3420
851	19570	3399
852	19622	3381
853	19638	3357
854	19655	3333
855	19673	3309
856	19691	3285
857	19710	3262
858	19731	3238
859	19750	3215
860	19768	3191
861	19788	3168
862	19808	3144
863	19827	3121
864	19844	3097
865	19868	3074
866	19889	3051
867	19910	3027
868	19940	3005
869	19959	2982
870	19978	2958
871	19996	2935
872	20014	2911
873	20035	2888
874	20058	2865
875	20079	2842
876	20110	2820
877	20138	2798
878	20153	2774
879	20169	2750
880	20187	2726
881	20206	2703
882	20222	2679
883	20237	2655
884	20278	2635
885	20299	2611
886	20316	2588
887	20332	2564
888	20360	2542
889	20379	2518
890	20396	2495
891	20411	2471
892	20430	2447
893	20460	2425
894	20480	2402
895	20502	2379
896	20542	2358
897	20563	2335
898	20589	2313
899	20610	2290
900	20639	2267
901	20660	2244
902	20689	2222
903	20709	2199
904	20728	2175
905	20746	2152
906	20765	2129
907	20784	2105
908	20812	2083
909	20833	2060
910	20851	2037
911	20870	2013
912	20900	1991
913	20928	1969
914	20948	1945
915	20967	1922
916	20988	1899
917	21007	1876
918	21028	1853
919	21070	1832
920	21100	1809
921	21124	1787
922	21154	1764
923	21175	1741
924	21194	1718
925	21231	1696
926	21250	1673
927	21268	1650
928	21292	1627
929	21317	1604
930	21342	1581
931	21362	1558
932	21382	1535
933	21401	1512
934	21419	1489
935	21439	1465
936	21457	1442
937	21476	1419
938	21499	1396
939	21522	1373
940	21545	1350
941	21563	1327
942	21582	1304
943	21601	1281
944	21624	1258
945	21643	1235
946	21664	1212
947	21682	1189
948	21698	1166
949	21715	1142
950	21735	1119
951	21755	1096
952	21774	1073
953	21792	1050
954	21813	1027
955	21833	1004
956	21857	982
957	21882	959
958	21904	936
959	21925	913
960	21947	890
961	21969	867
962	21992	844
963	22011	821
964	22028	798
965	22047	776
966	22065	753
967	22083	730
968	22100	707
969	22117	684
970	22134	661
971	22150	638
972	22168	615
973	22185	592
974	22202	569
975	22219	546
976	22236	523
977	22253	500
978	22269	477
979	22285	454
980	22302	431
981	22321	409
982	22338	386
983	22355	363
984	22377	340
985	22392	317
986	22408	295
987	22427	272
988	22443	249
989	22460	226
990	22477	204
991	22493	181
992	22510	158
993	22527	135
994	22545	113
995	22565	90
996	22582	67
997	22600	45
998	22622	22
999	22642	0
